order_id,shipper_id,order_date,delivery_city,delivery_address,supervisor_id,order_discount,client_id,delivery_city_code
1,7,2023-01-27,Kraków,ul. Morska 66/173,27,0.14,7,30-001
2,6,2023-03-07,Gdańsk,ul. Szkolna 16/35,17,0.23,80,80-001
3,9,2023-03-14,Gdynia,ul. Reymonta 23/190,1,0.24,24,81-001
4,8,2023-03-23,Gliwice,ul. Długa 89,33,0.21,81,44-100
5,1,2023-03-25,Bydgoszcz,ul. Świętokrzyska 4/44,23,0.09,86,85-001
6,8,2023-03-30,Kraków,ul. Polna 1/123,8,0.08,79,30-001
7,8,2023-04-04,Łódź,ul. Słoneczna 49/185,32,0.06,47,90-001
8,8,2023-04-11,Lublin,ul. Krótka 26/35,24,0.06,27,20-001
9,4,2023-04-16,Kraków,ul. Asnyka 16/117,25,0.17,77,30-001
10,5,2023-04-18,Gdańsk,ul. Szkolna 26/66,33,0.1,15,80-001
11,7,2023-04-25,Kraków,ul. Krótka 57/55,3,0.13,99,30-001
12,6,2023-04-25,Częstochowa,ul. Słoneczna 24/130,34,0.06,34,42-200
13,3,2023-05-14,Częstochowa,ul. Ogrodowa 45/46,34,0.18,83,42-200
14,8,2023-05-23,Gdańsk,ul. Słoneczna 78/40,1,0.13,36,80-001
15,3,2023-06-09,Gdańsk,ul. Marszałkowska 25/101,20,0.25,82,80-001
16,4,2023-06-15,Kraków,ul. Morska 66/173,8,0.16,7,30-001
17,10,2023-07-24,Radom,ul. Konopnickiej 59/28,26,0.05,23,26-600
18,5,2023-08-08,Poznań,ul. Długa 98/23,2,0.17,64,60-001
19,7,2023-08-16,Gdynia,ul. Reymonta 89/70,12,0.08,51,81-001
20,3,2023-09-05,Szczecin,ul. Ogrodowa 65/3,11,0.03,56,70-001
21,4,2023-09-13,Wrocław,ul. Kwiatowa 1/176,12,0.23,53,50-001
22,6,2023-09-23,Gdynia,ul. Polna 57/44,29,0.22,38,81-001
23,5,2023-09-27,Wrocław,ul. Wyspiańskiego 16/117,26,0.14,16,50-001
24,5,2023-10-02,Gdańsk,ul. Szkolna 16/35,35,0.05,80,80-001
25,6,2023-10-17,Radom,ul. Świętokrzyska 81/76,21,0.08,70,26-600
26,10,2023-10-27,Gdynia,ul. Wiślana 56/47,6,0.06,81,81-001
27,10,2023-11-16,Gdynia,ul. Krótka 51/72,6,0.11,41,81-001
28,4,2023-11-16,Lublin,al. Jana Pawła II 24/44,14,0.05,29,20-001
29,1,2023-12-07,Rzeszów,ul. Marszałkowska 3/22,13,0.21,67,35-001
30,8,2024-01-03,Gliwice,ul. Ogrodowa 98/99,4,0.23,54,44-100
31,4,2024-01-05,Warszawa,ul. Sienkiewicza 44/31,1,0.01,100,00-001
32,4,2024-01-20,Rzeszów,ul. Długa 41/64,10,0.19,40,35-001
33,7,2024-02-20,Katowice,ul. Słoneczna 25/5,25,0.12,76,40-001
